"City","Location","Building","Floor","Room","Department"
"","","","","3215","Youth ICM Team"
"","","","","3220",""
"","","","","3222",""
"","","","","3224",""
"","","","","3226",""
"","","","","3228",""
"","","","","3235",""
"","","","","3237",""
"","","","","3238",""
"","","","","3240",""
"","","","","3248",""
"","","","","3250",""
"","","","","3250 Antepartum",""
"","","","","3252",""
"","","","","3252 Antepartum",""
"","","","","3254",""
"","","","","3254 RM 7",""
"","","","","3270",""
"","","","","33",""
"","","","","330",""
"","","","","3301",""
"","","","","3301 Main OR Reception",""
"","","","","3304",""
"","","","","3304 (Charge Office)",""
"","","","","3304 adj",""
"","","","","3304 CNL OFFICE",""
"","","","","3305",""
"","","","","3311",""
"","","","","3312 OR Core",""
"","","","","3316 adj",""
"","","","","3318 OR 4",""
"","","","","3318 OR4",""
"","","","","3319 adj",""
"","","","","331B (Anesthesia Sleep Room))",""
"","","","","3325 OR2",""
"","","","","3326 OR1",""
"","","","","3332 - OR Lounge",""
"","","","","3332 OR lounge",""
"","","","","3332 OR Lounge",""
"","","","","3334",""
"","","","","3334 (OR Hallway) - Used by Anesthetists",""
"","","","","3334 Anesthesia Office",""
"","","","","3360 WFH",""
"","","","","34",""
"","","","","34 stn 43",""
"","","","","3405",""
"","","","","3406",""
"","","","","3410",""
"","","","","35",""
"","","","","3500",""
"","","","","3500 - ICU Nursing Station",""
"","","","","3501",""
"","","","","3540",""
"","","","","3540 adj",""
"","","","","3540 OR CNL",""
"","","","","36",""
"","","","","3600",""
"","","","","3601",""
"","","","","3700",""
"","","","","3702",""
"","","","","3703",""
"","","","","3704",""
"","","","","3704 (Core Lab ABL)",""
"","","","","3704 Ultrasound",""
"","","","","3705",""
"","","","","3706",""
"","","","","3707",""
"","","","","3708",""
"","","","","3709",""
"","","","","3710",""
"","","","","3712",""
"","","","","3714",""
"","","","","3715",""
"","","","","3716",""
"","","","","3717",""
"","","","","3718",""
"","","","","3719",""
"","","","","3719A",""
"","","","","3719B",""
"","","","","3720",""
"","","","","3722",""
"","","","","3724",""
"","","","","3727",""
"","","","","3732",""
"","","","","3736",""
"","","","","3737",""
"","","","","3737 Lab",""
"","","","","3738 (Sherry Walters' office)",""
"","","","","3739",""
"","","","","3742",""
"","","","","3743",""
"","","","","3746",""
"","","","","3747",""
"","","","","3750",""
"","","","","3751",""
"","","","","3753",""
"","","","","3755",""
"","","","","39",""
"","","","","39-6",""
"","","","","3B - PCA5",""
"","","","","3NC (Nurse Station)",""
"","","","","4",""
"","","","","40",""
"","","","","41",""
"","","","","430",""
"","","","","434",""
"","","","","45",""
"","","","","46",""
"","","","","47",""
"","","","","4A CCM",""
"","","","","4A South Nurses Station",""
"","","","","4AS",""
"","","","","4AS (Across From Rooms S403 and S406)",""
"","","","","4B Nurse POD",""
"","","","","4Bxx",""
"","","","","4S",""
"","","","","4SA main",""
"","","","","4SB CCM",""
"","","","","5A CNL office",""
"","","","","5B Nursing station",""
"","","","","5N",""
"","","","","5NC Hallway",""
"","","","","5NC Nursing Station",""
"","","","","6",""
"","","","","6C",""
"","","","","6S Hallway",""
"","","","","7",""
"","","","","705 adjacent",""
"","","","","744 - Nursing Station",""
"","","","","7D Hallway",""
"","","","","8",""
"","","","","9",""
"","","","","A124",""
"","","","","A128A",""
"","","","","A128B",""
"","","","","A1300",""
"","","","","Across S321",""
"","","","","Active Waiting Room 104.5",""
"","","","","Admin",""
"","","","","Admin area",""
"","","","","Admin Main",""
"","","","","Admin Reception Area",""
"","","","","Administrative offices S218",""
"","","","","Ambulatory Desk",""
"","","","","Ambulatory Hallway",""
"","","","","Anesthesia Office",""
"","","","","Anesthesia office",""
"","","","","Antepartum Nursing Station",""
"","","","","Arbutus Cottage",""
"","","","","Area 1011",""
"","","","","Ashgrove nursing station",""
"","","","","Audiology booth area",""
"","","","","Audiology office",""
"","","","","B004 (Print Shop)",""
"","","","","back 40",""
"","","","","Back Window Corner Desk  in Back office area",""
"","","","","basement- in OT/PT area",""
"","","","","bed 18 adjacent",""
"","","","","Beechwood nursing station",""
"","","","","Biomed",""
"","","","","Biomed Room",""
"","","","","Biomed. Engineering 3100A",""
"","","","","Biomedical Engineering",""
"","","","","Clinic 1 -940 GoldStream Ave",""
"","","","","Clinic 2 - 940 GoldStream",""
"","","","","Clinic 3",""
"","","","","Clinic 4/5 Rm 2907",""
"","","","","clinic MOA 2",""
"","","","","Clinicians office",""
"","","","","collab room",""
"","","","","Collab Room 104.10",""
"","","","","Collab Room 104.11",""
"","","","","Collab Room 104.12",""
"","","","","Collab Room 104.13",""
"","","","","Collab Room 104.14",""
"","","","","Collaboration Area",""
"","","","","Communications Center 3A",""
"","","","","Conference ROOM",""
"","","","","Conference room",""
"","","","","Conference Room",""
"","","","","Control room",""
"","","","","Copy Room",""
"","","","","Copy room",""
"","","","","Corridor 2",""
"","","","","cubicle area",""
"","","","","Cubicles",""
"","","","","Cublicle in back area",""
"","","","","Desk #1",""
"","","","","desk #3",""
"","","","","Desk #4 at SOOKE HEALTH UNIT",""
"","","","","Dietitian's office",""
"","","","","Doctors Lounge",""
