"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC032081","PC032081","HSS-8058682","465KRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2434","","VIHATRP20220505-028","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD105952","LD105952","HSS-1940510","J8M5VZ3","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","225","1","DMND0005390","10/31/2032","NTT-Deskside Services-WestCoast-Remote"
"PC067008","PC067008","PC067008","1T170N3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","Physician viewing room/xray","","VIHATRP20221114-008","02/28/2031","NTT-Deskside Services-WestCoast-Remote"
"PC080001","LD032480","HSS-8024985","CFNKGC3","VIHA-WRC-Westhaven-Main Building-1st Floor","Main Building","WH1025 - Volunteer office / CNE","","VIHATRP20211025-033","01/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD030980","LD030980-M1","HSS-8095828","4R0LG14","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2602","2","ISLHTRP20250922-005","09/30/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD059222","LD059222","HSS-1036011","15060N3","VIHA-PARS-Port Alberni Redford Street-Main Building-1st Floor","Main Building","11","1","REQ0631486-RITM0663318-SCTASK1048262","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"PC049229","PC049229","HSS-8078589","7DHRQT3","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Main Building","WC1513","1","VIHATRP20230918-057","11/30/2031","NTT-Deskside Services-WestCoast-Staffed"
"","LD026179","HSS-1014561-M1","VTB16263","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","","0","","07/31/2021","NTT-Deskside Services-WestCoast-Remote"
"LD066072","LD066228","HSS-8073767","BT8QQT3","VIHA-PARS-Port Alberni Redford Street-Main Building-1st Floor","Main Building","Team Room","1","VIHATRP20230417-030","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"LD093077","LD093077","HSS-1048778","D8WKG14","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","7","1","REQ1551620-RITM1637137-SCTASK2635722","01/31/2033","NTT-Deskside Services-WestCoast-Local"
"TD001654","9JVJRH3","HSS-1984844","9JVJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCICU - 2166 - Physician On-Call Room","","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD071363","LD060021","HSS-1031980","264HGC3","VIHA-PAST-Port Alberni Youth Short Term Assessment and Response-Main Building-1st Floor","Main Building","Social Work","1","REQ0448583-RITM0470210-SCTASK0750647","02/28/2030","NTT-Deskside Services-WestCoast-Local"
"LD038205","LD038205","HSS-8091752","G4ZKG14","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","6","1","REQ1801561-RITM1901473-SCTASK3068213","01/31/2033","NTT-Deskside Services-WestCoast-Local"
"LD050421","LD050421-M1","HSS-1972945","59JKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","6","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"LD050419","LD050419-M1","HSS-1972942","9PCKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","17","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC041946","PC041946","HSS-8086302","4YV4VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2441","2","VIHATRP20240429-068","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD102449","LD102449","HSS-1047280","BL84VZ3","VIHA-UFT-Ucluelet Family Ties-Main Building-1st Floor","Main Building","Main Floor","1","REQ1370624-RITM1445721-SCTASK2345217","10/31/2032","NTT-Deskside Services-WestCoast-Remote"
"","PC033760","HSS-8012383-M1","VTB15477","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","Laboratory Clean Room","","","08/31/2021","NTT-Deskside Services-WestCoast-Remote"
"PC032063","PC032063","HSS-8024948","VTN27813","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Reception","","VIHATRP20211025-006","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD030572","LD059626","HSS-1042698","BLPTVP3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","11","1","REQ0942714-RITM0991388-SCTASK1587827","08/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC032712","PC032712","HSS-8089598","3S2JTY3","VIHA-PACDF-Port Alberni Community Dialysis Facility-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20240909-053","11/30/2032","NTT-Deskside Services-WestCoast-Local"
"LD086052","LD086052","HSS-1046554","CR45VZ3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","3","1","REQ1284072-RITM1353992-SCTASK2189684","07/31/2032","NTT-Deskside Services-WestCoast-Local"
"LD063733","LD063733-M2","HSS-1043028","2MNTVP3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","20","1","REQ0969900-RITM1020220-SCTASK1655932","08/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC075775","PC075775","HSS-1940268","604LG14","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","105","1","DMND0005326","08/31/2030","NTT-Deskside Services-WestCoast-Remote"
"PC071516","PC071516","HSS-8089615","G4NHTY3","VIHA-WRC-Westhaven-Main Building-1st Floor","Main Building","WH1028 - Social worker room","1","VIHATRP20240909-064","11/30/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD065711","LD065711","LD065711","2T170N3","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","Home and Community Care | Social Work Liaison","0","VIHATRP20221114-019","02/28/2031","NTT-Deskside Services-WestCoast-Remote"
"PC032105","PC032105","HSS-8086298","B605VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCAmbulatory Care Unit (TRP)","2","VIHATRP20240429-066","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"PC085206","PC078493M1","HSS-1043229","HC8PQT3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2318","2","REQ1005130-RITM1057347-SCTASK1697009","09/30/2031","NTT-Deskside Services-WestCoast-Staffed"
