"City","Location","Building","Floor","Room","Department"
"","","","","258 (W121) Jodi Worth",""
"","","","","259 (WFH)",""
"","","","","26",""
"","","","","26 (CHS Rehab)",""
"","","","","260 (W150)",""
"","","","","260 (W151) Maryann",""
"","","","","261",""
"","","","","261 (W149) - Emma James",""
"","","","","262 (W148) Sue Kurucz",""
"","","","","262 ???",""
"","","","","266 (W114)",""
"","","","","266 (W115) Angela Eykelbosh",""
"","","","","267",""
"","","","","267 (TBD)",""
"","","","","268 (W116) Jennifer Sirup",""
"","","","","268 (W117) Kelsey",""
"","","","","27",""
"","","","","28",""
"","","","","2880 (Central Nurse Station Office)",""
"","","","","29",""
"","","","","2C (Hallway)",""
"","","","","2N (Hallway)",""
"","","","","2N (LDR Med Room Area)",""
"","","","","2N (Maternity OR)",""
"","","","","2N (Nurse Station - Fetalink)",""
"","","","","2N (Nurse Station)",""
"","","","","2N (Nurse Station)(7/24)",""
"","","","","2S (Hallway East)",""
"","","","","2S (Hallway West)",""
"","","","","2S (ICU Nurse Station)",""
"","","","","2S (Nurse Station - Front)",""
"","","","","2S (Nurse Station - Round Table)",""
"","","","","2S (Nurse Station)",""
"","","","","3",""
"","","","","3 (CN)",""
"","","","","300B (file room)",""
"","","","","300C",""
"","","","","301 (Director)",""
"","","","","3011 (Liaisons Office)",""
"","","","","303 (Meeting Room)",""
"","","","","303 (Meeting Room)(SUIT Spare)",""
"","","","","3031 (Nurse Station - Back Office TV)",""
"","","","","3031 (Nurse Station - Back Office)",""
"","","","","3032 (Nurse Station - Bat Cave)",""
"","","","","3033 (Clinical Coordinator Office)",""
"","","","","3036 (Floor 3 Dayroom - in storage)",""
"","","","","3036 (Floor 3 Dayroom)",""
"","","","","3037 (Tub Room)",""
"","","","","304 (Admin)",""
"","","","","304 Adult South Station - LPN",""
"","","","","304 Adult South Station - PRW",""
"","","","","3057 (Unit Clerk)",""
"","","","","3059 (Med/Report Room)",""
"","","","","306 (Counselor)",""
"","","","","3060 (CSO Office)",""
"","","","","3060 (CSO Office)(In Box)",""
"","","","","3060 (CSO Office)(Not Found)",""
"","","","","3063 (Outpatiant Procedure Room)",""
